iter	Logloss
0	0.6527094322
1	0.616050756
2	0.5853897222
3	0.5533401068
4	0.5263448762
5	0.5063107397
6	0.4873742964
7	0.4701155019
8	0.4550829554
9	0.4421277976
10	0.4315790458
11	0.4209185803
12	0.4113638744
13	0.4040384102
14	0.3963548993
15	0.3896207746
16	0.3839720445
17	0.3775447954
18	0.3732787784
19	0.3679356935
20	0.3644452271
21	0.3609755349
22	0.3575369738
23	0.3542447973
24	0.3521928064
25	0.3496845123
26	0.3469363392
27	0.3453431951
28	0.3430923271
29	0.3407920128
30	0.3388619875
31	0.3372794288
32	0.3353735637
33	0.3337448646
34	0.3324436355
35	0.3310968806
36	0.329927645
37	0.3284698993
38	0.3271774288
39	0.3260554954
40	0.3249550588
41	0.3238591141
42	0.3229107316
43	0.3221567972
44	0.3213588505
45	0.3206241824
46	0.320013307
47	0.3192177042
48	0.3186251419
49	0.3180487382
50	0.3176230836
51	0.3170314493
52	0.3164780398
53	0.3160237572
54	0.3153322267
55	0.3146462094
56	0.3139724228
57	0.3134760919
58	0.3130074716
59	0.3123824317
60	0.3119249449
61	0.3116337808
62	0.3111144693
63	0.3107358137
64	0.3101930716
65	0.3098052164
66	0.3094777341
67	0.3091986539
68	0.308805164
69	0.3085080668
70	0.3081729875
71	0.3077859077
72	0.3073330004
73	0.3069643528
74	0.3066166991
75	0.3063259542
76	0.3060953279
77	0.3056731531
78	0.3054544737
79	0.3051236595
80	0.3048886931
81	0.3043604634
82	0.3041615783
83	0.3039378149
84	0.3037470826
85	0.3034234716
86	0.303164769
87	0.3028100161
88	0.3025548795
89	0.3022815175
90	0.3017803434
91	0.3014648054
92	0.3013004936
93	0.3010625883
94	0.3008928625
95	0.3006270501
96	0.3002736769
97	0.3001718245
98	0.2999963989
99	0.2997727936
100	0.2996834997
101	0.2995268967
102	0.299012304
103	0.2988220068
104	0.2985064828
105	0.2983706198
106	0.2981663629
107	0.298043794
108	0.297930644
109	0.2976437276
110	0.2975840266
111	0.2974834285
112	0.2973659512
113	0.2971757988
114	0.2970117342
115	0.296719617
116	0.2965335732
117	0.2963900821
118	0.296215716
119	0.2960989545
120	0.2960502276
121	0.295937347
122	0.2955104406
123	0.2954065658
124	0.2952606664
125	0.295159854
126	0.295063924
127	0.2949673147
128	0.2948757013
129	0.2947933054
130	0.294611922
131	0.2944797593
132	0.2943355054
133	0.2941645222
134	0.2940781481
135	0.2938960155
136	0.2937577139
137	0.2933738084
138	0.2933102196
139	0.2931355862
140	0.2930571998
141	0.2929614178
142	0.2927632737
143	0.2926629891
144	0.2925658776
145	0.2925043239
146	0.2924532146
147	0.2924042718
148	0.2923045339
149	0.2921890478
150	0.2920133829
151	0.2919352829
152	0.291809723
153	0.2917166713
154	0.2915928187
155	0.2915309604
156	0.2914410242
157	0.291362957
158	0.2913170908
159	0.2912436349
160	0.2912250117
161	0.2911783392
162	0.2910964413
163	0.2909905962
164	0.2909507753
165	0.2909385396
166	0.2908728965
167	0.2908165253
168	0.2907420138
169	0.2907253548
170	0.2906297773
171	0.2905567575
172	0.2904886475
173	0.2903877328
174	0.2903067778
175	0.2901648365
176	0.2901195611
177	0.2900803639
178	0.2899028791
179	0.2898201831
180	0.28964872
181	0.2896031019
182	0.2895272254
183	0.2894274165
184	0.2893259576
185	0.2892920411
186	0.2892563659
187	0.2891898085
188	0.2890773056
189	0.2890264215
190	0.2889954593
191	0.288810499
192	0.2886748515
193	0.2884846528
194	0.2883993122
195	0.288335484
196	0.2882636884
197	0.2882082925
198	0.2881575434
199	0.2880869933
200	0.2880148832
201	0.2879297684
202	0.2877842398
203	0.2876452159
204	0.2875910724
205	0.2875643969
206	0.2875500603
207	0.2875116181
208	0.2874250964
209	0.2874007649
210	0.2873259911
211	0.2872517591
212	0.2871895163
213	0.2871554774
214	0.2869564521
215	0.2869053285
216	0.2868685745
217	0.2868217657
218	0.2868080012
219	0.2866972895
220	0.2866298177
221	0.2864943439
222	0.2864372641
223	0.2863842414
224	0.2862165677
225	0.2860692804
226	0.2860297637
227	0.2859017087
228	0.2857511854
229	0.2856003806
230	0.2855612959
231	0.2855282083
232	0.2854430041
233	0.2853625026
234	0.2853214667
235	0.2852665491
236	0.2851989259
237	0.2851534301
238	0.2850923312
239	0.2850310825
240	0.2847874624
241	0.2847352596
242	0.2846787943
243	0.2846213067
244	0.2845328481
245	0.2844790797
246	0.2843603907
247	0.2843010169
248	0.2842274809
249	0.2841857606
250	0.2841377466
251	0.284104618
252	0.2840621001
253	0.2840379009
254	0.2839927805
255	0.2838942482
256	0.283857349
257	0.2838139254
258	0.2837641903
259	0.283705371
260	0.2836432643
261	0.2835974639
262	0.2835683169
263	0.2835234594
264	0.2834534738
265	0.2833819075
266	0.2833198711
267	0.283263509
268	0.2832208788
269	0.2830232327
270	0.282949626
271	0.2828708283
272	0.2826976251
273	0.2826622081
274	0.2825857318
275	0.2824614479
276	0.2823916171
277	0.2822993175
278	0.2820981822
279	0.2819776126
280	0.2819434053
281	0.2818920428
282	0.2818646965
283	0.28181029
284	0.2817597623
285	0.2816937348
286	0.2816086432
287	0.2815815313
288	0.2815286493
289	0.2814754391
290	0.2814091678
291	0.2813672033
292	0.2812155827
