iter	Passed	Remaining
0	166	166236
1	195	97647
2	214	71146
3	233	58247
4	254	50688
5	275	45715
6	293	41659
7	309	38390
8	327	36066
9	349	34566
10	373	33557
11	402	33175
12	430	32682
13	458	32312
14	488	32054
15	518	31904
16	539	31176
17	561	30634
18	579	29925
19	596	29243
20	620	28918
21	637	28325
22	660	28077
23	682	27753
24	699	27298
25	725	27187
26	749	27017
27	781	27122
28	816	27335
29	855	27665
30	888	27766
31	921	27869
32	944	27668
33	963	27386
34	990	27308
35	1017	27234
36	1051	27357
37	1080	27356
38	1099	27104
39	1123	26954
40	1143	26753
41	1163	26531
42	1180	26276
43	1204	26166
44	1231	26134
45	1294	26845
46	1333	27031
47	1377	27316
48	1411	27391
49	1445	27459
50	1473	27416
51	1497	27309
52	1527	27298
53	1557	27287
54	1579	27144
55	1610	27145
56	1636	27077
57	1659	26950
58	1685	26884
59	1712	26825
60	1750	26939
61	1782	26960
62	1816	27014
63	1855	27136
64	1889	27185
65	1914	27089
66	1939	27012
67	1961	26889
68	1982	26745
69	2005	26642
70	2030	26570
71	2054	26485
72	2076	26367
73	2094	26211
74	2117	26120
75	2137	25990
76	2157	25860
77	2171	25673
78	2186	25494
79	2200	25301
80	2213	25118
81	2229	24963
82	2243	24786
83	2265	24703
84	2290	24658
85	2312	24574
86	2333	24488
87	2355	24409
88	2373	24297
89	2395	24221
90	2413	24106
91	2430	23984
92	2444	23841
93	2461	23726
94	2475	23587
95	2489	23446
96	2504	23312
97	2520	23197
98	2533	23056
99	2548	22932
100	2566	22840
101	2583	22749
102	2601	22654
103	2620	22577
104	2641	22513
105	2665	22476
106	2695	22494
107	2727	22530
108	2748	22468
109	2771	22420
110	2788	22331
111	2801	22211
112	2815	22098
113	2829	21992
114	2842	21876
115	2856	21769
116	2877	21715
117	2903	21698
118	2931	21703
119	2959	21701
120	2981	21662
121	3001	21601
122	3019	21530
123	3033	21433
124	3048	21339
125	3061	21232
126	3074	21136
127	3091	21060
128	3109	20997
129	3131	20957
130	3147	20882
131	3162	20797
132	3178	20720
133	3191	20623
134	3215	20601
135	3240	20586
136	3258	20524
137	3276	20467
138	3295	20414
139	3313	20351
140	3331	20298
141	3349	20238
142	3364	20161
143	3378	20083
144	3390	19992
145	3403	19910
146	3418	19838
147	3430	19749
148	3443	19669
149	3459	19601
150	3471	19517
151	3489	19467
152	3505	19404
153	3517	19325
154	3531	19253
155	3545	19182
156	3559	19110
157	3579	19073
158	3599	19036
159	3618	18997
160	3787	19736
161	3999	20691
162	4080	20953
163	4125	21030
164	4148	20994
165	4172	20960
166	4196	20930
167	4225	20926
168	4247	20884
169	4262	20811
170	4286	20779
171	4304	20722
172	4322	20664
173	4342	20612
174	4357	20544
175	4380	20506
176	4398	20452
177	4413	20380
178	4432	20331
179	4449	20271
180	4464	20202
181	4481	20142
182	4497	20079
183	4513	20015
184	4529	19954
185	4544	19887
186	4560	19825
187	4576	19766
188	4589	19692
189	4603	19624
190	4624	19589
191	4637	19515
192	4650	19444
193	4666	19388
194	4681	19326
195	4697	19270
196	4716	19227
197	4732	19167
198	4748	19112
199	4764	19058
200	4783	19015
201	4798	18958
202	4812	18892
203	4826	18834
204	4841	18773
205	4853	18708
206	4867	18647
207	4882	18589
208	4894	18523
209	4907	18460
210	4921	18401
211	4935	18343
212	4948	18283
213	4961	18222
214	4972	18155
215	4985	18093
216	4998	18034
217	5012	17978
218	5025	17922
219	5041	17873
220	5055	17819
221	5067	17760
222	5082	17708
223	5095	17652
224	5107	17593
225	5120	17537
226	5134	17486
227	5147	17429
228	5161	17377
229	5174	17323
230	5187	17269
231	5201	17218
232	5215	17168
233	5228	17115
234	5244	17071
235	5258	17022
236	5274	16982
237	5291	16940
238	5305	16894
239	5326	16866
240	5344	16830
241	5359	16786
242	5378	16756
243	5395	16717
244	5410	16672
245	5427	16636
246	5443	16596
247	5459	16553
248	5473	16509
249	5486	16459
250	5504	16426
251	5520	16386
252	5533	16338
253	5548	16295
254	5561	16248
255	5572	16196
256	5585	16147
257	5599	16104
258	5613	16060
259	5629	16021
260	5646	15988
261	5659	15941
262	5672	15896
263	5686	15851
264	5699	15809
265	5717	15776
266	5734	15743
267	5749	15703
268	5764	15664
269	5782	15633
270	5796	15593
271	5813	15558
272	5827	15518
273	5839	15472
274	5851	15426
275	5864	15383
276	5876	15337
277	5889	15294
278	5901	15251
279	5914	15207
280	5925	15162
281	5939	15121
282	5958	15096
283	5975	15065
284	5989	15025
285	6001	14983
286	6013	14938
287	6026	14900
288	6044	14869
289	6067	14855
290	6083	14820
291	6102	14795
292	6119	14766
293	6137	14737
294	6156	14713
295	6177	14692
296	6201	14678
297	6215	14641
298	6230	14608
299	6254	14592
300	6270	14562
301	6287	14532
302	6302	14498
303	6319	14469
304	6336	14438
305	6349	14400
306	6376	14394
307	6390	14358
308	6403	14320
309	6418	14286
310	6434	14255
311	6447	14217
312	6464	14188
313	6480	14158
314	6495	14126
315	6514	14102
316	6534	14078
317	6551	14050
318	6573	14032
319	6589	14002
320	6608	13979
321	6627	13955
322	6644	13927
323	6663	13903
324	6680	13874
325	6695	13842
326	6708	13807
327	6724	13776
328	6737	13741
329	6749	13704
330	6764	13671
331	6782	13646
332	6795	13611
333	6813	13586
334	6825	13549
335	6841	13520
336	6857	13491
337	6870	13456
338	6882	13420
339	6898	13391
340	6912	13358
341	6924	13322
342	6937	13289
343	6952	13257
344	6963	13221
345	6975	13185
346	6987	13149
347	6999	13114
348	7011	13077
349	7027	13050
350	7047	13031
351	7068	13013
352	7092	12999
353	7105	12966
354	7117	12931
355	7135	12908
356	7149	12876
357	7160	12840
358	7173	12808
359	7191	12784
360	7203	12750
361	7215	12717
362	7231	12690
363	7242	12655
364	7255	12622
365	7267	12589
366	7279	12555
367	7291	12522
368	7312	12504
369	7330	12481
370	7347	12456
371	7375	12451
372	7393	12427
373	7409	12401
374	7425	12376
375	7443	12353
376	7460	12329
